"StartupId","GooglePlay","AppStore","ChromeStore","FirefoxAddOn","MicrosoftEdgeExtension","ShopifyStore","WordPressPlugin","CreatedTimeStamp","UpdatedTimeStamp"
"6f113c1f-e973-4b03-8665-018832f722ab","https://play.google.com/store/apps/details?id=com.Kibanda.customer","https://apps.apple.com/app/id1566145075","","","","","","3/23/2022 9:12:38 AM","8/8/2024 6:33:25 PM"
"fa703770-e6a0-4bd6-8477-01897427ae94","https://play.google.com/store/apps/details?id=fr.maisonsetappartements.maisonsetappartements","","","","","","","5/3/2024 6:54:15 AM",""
"8b61d494-771c-4ae4-88c0-08765178a94f","","","","","","","","3/20/2022 9:48:09 PM","1/24/2024 2:58:36 AM"
"886fc873-bf0a-4208-9749-0e6fded28a7e","","","","","","","","7/3/2022 11:10:15 AM","1/24/2024 2:57:26 AM"
"090036a5-0640-4659-93e2-1082af0272a0","https://play.google.com/store/apps/details?id=com.taskhuman.insights","https://apps.apple.com/us/app/taskhuman-1x1-video-coaching/id1406593844","","","","","","11/17/2021 6:20:18 AM","8/8/2024 11:30:43 PM"
"d6ac2639-6af3-48cd-8af9-16a8e6d5b9f2","https://play.google.com/store/apps/details?id=ke.co.jointanda.twallet","","","","","","","11/17/2021 3:21:50 AM",""
"8bb1c0f0-8035-4738-bdb0-20eb1022a54f","","","","","","","https://wordpress.org/plugins/gdpr-cookie-compliance/","3/21/2022 8:58:37 PM",""
"03704833-9d7f-4cfe-8b0b-24dd7b6133b8","https://play.google.com/store/apps/details?id=com.raken","https://apps.apple.com/us/app/raken-construction-management/id747582049","","","","","","3/22/2022 7:11:29 AM",""
"e96473f5-997a-4087-8242-2d7a7981928d","https://play.google.com/store/apps/details?id=com.bettervet","https://apps.apple.com/il/app/bettervet/id1532107359","","","","","","11/18/2022 1:17:20 AM",""
"d795d3d0-0913-4b63-98f0-2e56f4a95244","","","","","","","https://wordpress.org/plugins/gdpr-cookie-compliance/","11/28/2023 11:45:11 AM",""
"44e9da86-a680-4f80-b150-359a305a8c58","https://play.google.com/store/apps/details?id=com.app.mutosi","https://apps.apple.com/vn/app/mutosi/id1475057126","","","","","","11/29/2021 8:13:05 AM",""
"e182918e-1d9b-4667-bd61-36221c75c62d","https://play.google.com/store/apps/details?id=vn.ntlogistics.app.user","https://apps.apple.com/us/app/nhất-tín/id1299655950","","","","","","11/29/2021 8:13:05 AM","2/14/2023 8:58:02 PM"
"d845f32e-74ee-480d-b5f0-37ec34821492","","https://apps.apple.com/us/app/racket-tell-it-like-it-is/id1577214628","","","","","","3/21/2022 4:30:08 PM",""
"a63b15b7-485d-400b-b0b6-3bccb09cee12","https://play.google.com/store/apps/details?id=com.robinhood.android","https://itunes.apple.com/us/app/robinhood-free-stock-trading/id938003185","","","","","","10/18/2023 5:35:37 PM","6/14/2024 7:01:37 AM"
"73d6a01d-65b9-4a26-948f-3fddde9fbb47","https://play.google.com/store/apps/details?id=com.pcs.mypcs","","","","","","","12/30/2022 9:11:36 PM",""
"7513eede-9352-453a-bdbd-466022547eaf","https://play.google.com/store/apps/details?id=swe.tele2.mittTele2","https://apps.apple.com/se/app/mitt-tele2/id479841366","","","","","","3/21/2022 6:59:51 AM",""
"d760c179-df7a-43b0-b186-50001ad3b208","","https://apps.apple.com/us/app/eversense/id1019665667","","","","","","3/21/2022 11:05:13 PM",""
"8e18c5ba-442f-4002-91d4-50f62d74545b","","","","","","","","11/10/2021 11:37:22 AM","1/24/2024 2:58:02 AM"
"ff3b07f0-344e-4caa-a819-53f40c81676c","","","","","","","https://wordpress.org/plugins/gdpr-cookie-compliance/","3/20/2022 4:28:45 PM",""
"97722bef-1493-4d5f-ad35-5bc3d0e0ee2c","","","","","","","","2/24/2022 10:10:37 AM","1/24/2024 2:44:59 AM"
"61f3e3a5-bb97-4705-8d8a-6781956ccf1f","https://play.google.com/store/apps/details?id=com.airbnb.android","https://itunes.apple.com/app/airbnb/id401626263","","","","","","10/25/2023 7:43:59 AM",""
"ac446385-5e94-412f-b4dd-67ffed246869","https://play.google.com/store/apps/details?id=com.kryptowire.matador","https://apps.apple.com/us/app/q-scout/id1634815152","","","","","","2/17/2023 7:14:01 AM","8/17/2023 8:06:26 AM"
"62a5fe2e-d126-4940-b74d-680575f715bd","https://play.google.com/store/apps/details?id=com.unidea.lima","","","","","","","3/22/2022 5:59:14 AM",""
"137ed254-55a4-4ced-b25f-6d5823dc0633","https://play.google.com/store/apps/details?id=com.tritiumsoftware.forcemanager","https://itunes.apple.com/app/forcemanager-crm-sales/id945076174","","","","","","11/18/2021 11:12:27 PM",""
"2e52f77e-63fc-402e-97d4-735a523ed62e","https://play.google.com/store/apps/details?id=com.cajoo.cajooapp","https://apps.apple.com/fr/app/cajoo-livraison-de-courses/id1551351554","","","","","","2/20/2023 8:20:31 PM",""
"c93d4557-4fde-45e4-adb2-77112c953ad7","https://play.google.com/store/apps/details?id=com.esker.mobile.app","","","","","","","11/10/2021 8:14:35 AM",""
"76f062e8-976d-400e-b520-7a0b3628594e","https://play.google.com/store/apps/details?id=com.gamificationlab.app","","","","","","","11/18/2021 3:12:37 PM",""
"bb06b188-a0b3-4fc6-af46-7ee114901865","","","","","","","","11/29/2021 8:11:47 AM","1/24/2024 12:59:11 AM"
"0b6dc569-de33-4aa8-a82e-92a00d698b2c","https://play.google.com/store/apps/details?id=com.salescabal.app","https://apps.apple.com/app/id1497638594","","","","","","2/5/2022 10:35:24 AM",""
"908022f0-3785-46e1-bde5-9337f102cc2b","","","","","","","https://wordpress.org/plugins/gdpr-cookie-compliance/","3/23/2022 5:54:43 AM","6/7/2024 6:30:58 PM"
"67049fc9-1f4d-4e5b-8a85-9e09699dca7d","","","https://chrome.google.com/webstore/detail/meet-auto-admit/ceofheakaalaecnecdkdanhejojkpeai","","","","","11/29/2021 9:10:58 AM",""
"0ae90c2d-5c7d-46bb-b964-a1db59d55416","https://play.google.com/store/apps/details?id=com.pharmacity_extracare","https://apps.apple.com/vn/app/extracare-pharmacity/id1414835869","","","","","","2/25/2023 11:23:19 AM","7/26/2024 5:36:24 AM"
"fa16c442-8ffd-4be5-9858-af9860a6c325","https://play.google.com/store/apps/details?id=brainsonic.sociabble.mobile.droid","https://apps.apple.com/fr/app/sociabble/id1003844345","","","","","","11/10/2021 10:39:49 AM",""
"11c52ed5-81aa-4f0a-9334-b1d80624c687","https://play.google.com/store/apps/details?id=com.bedjet.bedjet","https://apps.apple.com/us/app/bedjet-3-smart-remote/id1514850248","","","","","","11/10/2021 5:59:13 AM",""
"7c3aed3e-b57b-49d9-9629-b714e8d98364","https://play.google.com/store/apps/details?id=com.massageenvy.consumer.android","","","","","","","2/13/2023 4:25:24 PM",""
"bcbcbebe-f891-45af-9c17-b7e0a18de09d","","","","","","https://apps.shopify.com/bluereceipt","","3/21/2022 4:20:02 PM",""
"fccb729b-69cc-4f94-80c0-b88eebfa547a","","https://apps.apple.com/vn/app/f88/id1392145088","","","","","","11/29/2021 8:13:05 AM",""
"2ede6fe2-b357-4a2c-a6bf-c0fda2b09e31","","https://itunes.apple.com/app/octoly/id1100218563","","","","","","2/5/2022 10:01:50 AM",""
"0fa5abe5-0e4e-4a9a-9707-c1db151f9179","https://play.google.com/store/apps/details?id=com.splashtop.m360.tx.promethean","","https://chrome.google.com/webstore/detail/activcast-sender/dcdfjddkdjkaohjceimnbgniajaholfl","","","","","2/17/2023 2:16:41 PM",""
"6a3daf65-8040-485e-a874-c24d78708dfa","https://play.google.com/store/apps/details?id=com.freshbooks.andromeda","https://itunes.apple.com/app/apple-store/id1052884030","https://chrome.google.com/webstore/detail/freshbooks-time-tracker/mkbmdcokiphabelhplbmfbmpmcgmaope","","","","","11/15/2021 6:14:03 PM","4/27/2024 8:16:07 PM"
"90d58b9a-7642-421e-aa71-ca55190245ee","https://play.google.com/store/apps/details?id=com.mobile.sunroomrentals","","","","","","","2/24/2023 6:16:13 AM",""
"afce8be2-6c14-40fa-a3d3-d06c420a11a4","https://play.google.com/store/apps/details?id=de.hse24","","","","","","","3/21/2022 9:16:09 AM",""
"23073929-298f-4981-bdcd-dc3d7e1a6035","https://play.google.com/store/apps/details?id=co.agileapp.vanuse","","","","","","","2/16/2022 8:11:13 AM",""
"d2252616-ad9f-47b5-83ce-dca46a30fc8a","","https://apps.apple.com/us/app/osome-accounting-invoices/id1275391231","","","","","","3/22/2022 5:02:34 AM",""
"267734d4-bbcf-4c77-a29b-de5d6f69ffe5","","https://apps.apple.com/us/app/gnc-livewell/id413258417","","","","","","3/1/2023 6:12:30 PM",""
"716290d9-8e22-4b39-9f35-e0231c55ae6f","https://play.google.com/store/apps/details?id=com.payasyoutrack","https://apps.apple.com/gb/app/pay-as-you-track/id978697495","","","","","","2/16/2022 5:12:20 PM",""
"8b066a8c-439a-420c-8b70-f83a1a5ec855","","https://apps.apple.com/us/app/blush-ai-dating-simulator/id1641301004","","","","","","2/15/2023 1:15:42 AM","8/15/2023 8:42:53 AM"
"29c97ff7-8597-499b-9554-fc5db173d20c","https://play.google.com/store/apps/details?id=com.facebook.pages.app","https://apps.apple.com/eg/app/facebook-business-suite/id514643583","","","","","https://wordpress.org/plugins/pixel-caffeine/","1/26/2022 2:11:06 PM",""
